2026-04-24 09:33:51,107 | INFO | ui.console | Instruction processed
2026-04-24 09:34:12,761 | INFO | ui.console | Raw instruction received: all
2026-04-24 09:34:12,761 | INFO | ui.console | Parsed instruction task: all
2026-04-24 09:34:12,761 | INFO | ui.console.handler | Dispatch command: task=all
2026-04-24 09:34:12,762 | INFO | ui.console.handler | Handling all command
2026-04-24 09:34:12,766 | INFO | ui.console | Instruction processed
2026-04-24 09:36:17,571 | INFO | ui.console | Raw instruction received: ext
2026-04-24 09:36:17,571 | INFO | ui.console | Parsed instruction task: ext
2026-04-24 09:36:17,571 | INFO | ui.console | Console UI exit requested
2026-04-24 09:36:17,571 | INFO | main | Application stopped
2026-04-24 10:00:09,571 | INFO | main | Application starting
2026-04-24 10:00:09,590 | INFO | main | Console app built successfully
2026-04-24 10:00:09,590 | INFO | ui.console | Console UI started
2026-04-24 10:00:15,998 | INFO | ui.console | Raw instruction received: reg loki
2026-04-24 10:00:15,998 | INFO | ui.console | Parsed instruction task: reg
2026-04-24 10:00:15,998 | INFO | ui.console.handler | Dispatch command: task=reg
2026-04-24 10:00:15,998 | INFO | ui.console.handler | Handling reg command
2026-04-24 10:00:16,015 | INFO | ui.console.handler | User loki registered and logged in, id=[79a4a7ea-c0f5-4c2f-812a-0e934446a175]
2026-04-24 10:00:16,019 | INFO | ui.console | Instruction processed
2026-04-24 10:00:20,405 | INFO | ui.console | Raw instruction received: reg winch
2026-04-24 10:00:20,405 | INFO | ui.console | Parsed instruction task: reg
2026-04-24 10:00:20,405 | INFO | ui.console.handler | Dispatch command: task=reg
2026-04-24 10:00:20,405 | INFO | ui.console.handler | Handling reg command
2026-04-24 10:00:20,414 | INFO | ui.console.handler | User winch registered and logged in, id=[4fdf1121-6696-4b93-8004-5a533c6d05ae]
2026-04-24 10:00:20,415 | INFO | ui.console | Instruction processed
2026-04-24 10:00:22,712 | INFO | ui.console | Raw instruction received: reg dean
2026-04-24 10:00:22,712 | INFO | ui.console | Parsed instruction task: reg
2026-04-24 10:00:22,712 | INFO | ui.console.handler | Dispatch command: task=reg
2026-04-24 10:00:22,712 | INFO | ui.console.handler | Handling reg command
2026-04-24 10:00:22,720 | INFO | ui.console.handler | User dean registered and logged in, id=[f5e85874-cc42-415a-81fb-b44d63bf474a]
2026-04-24 10:00:22,721 | INFO | ui.console | Instruction processed
2026-04-24 10:00:25,632 | INFO | ui.console | Raw instruction received: join loki
2026-04-24 10:00:25,632 | INFO | ui.console | Parsed instruction task: join
2026-04-24 10:00:25,632 | INFO | ui.console.handler | Dispatch command: task=join
2026-04-24 10:00:25,632 | INFO | ui.console.handler | Handling join command
2026-04-24 10:00:29,816 | INFO | ui.console.handler | Command cancelled by empty input
2026-04-24 10:00:29,816 | INFO | ui.console | Instruction processed
2026-04-24 10:00:34,653 | INFO | ui.console | Raw instruction received: new
2026-04-24 10:00:34,653 | INFO | ui.console | Parsed instruction task: new
2026-04-24 10:00:34,653 | INFO | ui.console.handler | Dispatch command: task=new
2026-04-24 10:00:34,653 | INFO | ui.console.handler | Handling new command
2026-04-24 10:00:34,653 | INFO | ui.console.handler | Registering new game, host_user_id=[f5e85874-cc42-415a-81fb-b44d63bf474a]
